      Date & Time,  Trans,  Elap Time,  Data Trans,  Resp Time,  Trans Rate,  Throughput,  Concurrent,    OKAY,   Failed
2019-01-29 09:01:31,  81267,     113.59,           0,       0.54,      715.44,        0.00,      387.83,   81267,    1137
**** siege aborted due to excessive socket failure. ****
2019-01-29 09:03:41,  37011,      56.81,           0,       0.37,      651.49,        0.00,      242.31,   37011,    1275
**** siege aborted due to excessive socket failure. ****
2019-01-29 09:05:18,  39109,      59.38,           0,       0.36,      658.62,        0.00,      234.18,   39109,    1268
**** siege aborted due to excessive socket failure. **** <- uvloop added
2019-01-29 09:48:17,  91862,     119.58,           0,       0.64,      768.21,        0.00,      492.25,   91863,     255
2019-01-30 06:30:14,   1066,       3.58,           0,       0.32,      297.77,        0.00,       94.16,    1066,       0
2019-01-30 06:31:50,   9500,      29.19,           0,       0.30,      325.45,        0.00,       99.20,    9500,       0
2019-01-30 06:40:17,   9581,      29.34,           0,       0.30,      326.55,        0.00,       99.14,    9581,       0
2019-01-30 06:52:21,      0,      29.52,           0,       -nan,        0.00,        0.00,        0.00,       0,     279
2019-01-30 07:14:11,      0,      10.32,           0,       -nan,        0.00,        0.00,        0.00,       0,     100
2019-01-30 07:23:25,      0,       9.73,           0,       -nan,        0.00,        0.00,        0.00,       0,      44
2019-01-30 07:43:14,      0,      29.72,           0,       -nan,        0.00,        0.00,        0.00,       0,     254
2019-01-30 07:47:11,   8115,      25.50,           0,       0.31,      318.24,        0.00,       99.13,    8115,       0
2019-01-30 07:56:13,   9235,      29.44,           0,       0.32,      313.69,        0.00,       99.17,    9235,       0
2019-01-30 07:59:24,   9576,      29.52,           0,       0.31,      324.39,        0.00,       99.26,    9576,       0
2019-01-30 08:23:00,   9646,      29.32,           0,       0.30,      328.99,        0.00,       99.22,    9646,       0
2019-01-30 08:30:38,      0,      29.72,           0,       -nan,        0.00,        0.00,        0.00,       0,     200
2019-01-30 08:36:40,   9597,      29.29,           0,       0.30,      327.65,        0.00,       99.25,    9597,       0
2019-01-30 08:41:48,   9675,      29.75,           0,       0.31,      325.21,        0.00,       99.25,    9675,       0
2019-01-30 08:48:19,   9710,      29.65,           0,       0.30,      327.49,        0.00,       99.20,    9710,       0
2019-01-30 09:11:29,   9752,      29.84,           0,       0.30,      326.81,        0.00,       99.15,    9752,       0
2019-01-30 09:31:37,      0,      29.83,           0,       -nan,        0.00,        0.00,        0.00,       0,     318
2019-01-30 09:32:12,      0,       0.42,           0,       -nan,        0.00,        0.00,        0.00,       0,    1123
**** siege aborted due to excessive socket failure. ****
2019-01-30 09:32:46,      0,       0.38,           0,       -nan,        0.00,        0.00,        0.00,       0,    1033
**** siege aborted due to excessive socket failure. ****
2019-01-30 09:33:03,      0,       0.37,           0,       -nan,        0.00,        0.00,        0.00,       0,    1033
**** siege aborted due to excessive socket failure. ****
2019-01-30 09:35:24,      0,       0.46,           0,       -nan,        0.00,        0.00,        0.00,       0,    1033
**** siege aborted due to excessive socket failure. ****
2019-01-30 09:36:49,      0,       0.47,           0,       -nan,        0.00,        0.00,        0.00,       0,    1033
**** siege aborted due to excessive socket failure. ****
2019-01-30 09:37:38,    981,      29.32,           0,       0.30,       33.46,        0.00,        9.96,     981,       0
2019-01-30 09:39:03,      0,       0.44,           0,       -nan,        0.00,        0.00,        0.00,       0,    1033
**** siege aborted due to excessive socket failure. ****
2019-01-30 09:40:28,   1004,      30.01,           0,       0.30,       33.46,        0.00,        9.96,    1004,       0
